,標的代碼,公司名稱
0,1101,台泥
1,1102,亞泥
2,1216,統一
3,1301,台塑
4,1303,南亞
5,1308,亞聚
6,1312,國喬
7,1314,中石化
8,1319,東陽
9,1402,遠東新
10,1444,力麗
11,1476,儒鴻
12,1477,聚陽
13,1513,中興電
14,1519,華城
15,1522,堤維西
16,1536,和大
17,1560,中砂
18,1605,華新
19,1609,大亞
20,1708,東鹼
21,1709,和益
22,1711,永光
23,1712,興農
24,1717,長興
25,1736,喬山
26,1760,寶齡
27,1789,神隆
28,1795,美時
29,2002,中鋼
30,2006,東鋼
31,2009,第一銅
32,2014,中鴻
33,2027,大成鋼
34,2028,威致
35,2031,新光鋼
36,2034,允強
37,2049,上銀
38,2059,川湖
39,2105,正新
40,2201,裕隆
41,2204,中華
42,2206,三陽
43,2231,為升
44,2301,光寶科
45,2303,聯電
46,2308,台達電
47,2312,金寶
48,2313,華通
49,2317,鴻海
50,2324,仁寶
51,2327,國巨
52,2328,廣宇
53,2329,華泰
54,2330,台積電
55,2331,精英
56,2332,友訊
57,2337,旺宏
58,2338,光罩
59,2340,台亞
60,2344,華邦電
61,2345,智邦
62,2351,順德
63,2352,佳世達
64,2353,宏碁
65,2356,英業達
66,2357,華碩
67,2360,致茂
68,2363,矽統
69,2367,燿華
70,2368,金像電
71,2371,大同
72,2376,技嘉
73,2377,微星
74,2379,瑞昱
75,2382,廣達
76,2383,台光電
77,2388,威盛
78,2401,凌陽
79,2404,漢唐
80,2408,南亞科
81,2409,友達
82,2412,中華電
83,2419,仲琦
84,2421,建準
85,2428,興勤
86,2436,偉詮電
87,2439,美律
88,2449,京元電
89,2454,聯發科
90,2455,全新
91,2457,飛宏
92,2458,義隆
93,2474,可成
94,2476,鉅祥
95,2481,強茂
96,2492,華新科
97,2497,怡利電
98,2498,宏達電
99,2534,宏盛
100,2542,興富發
101,2603,長榮
102,2605,新興
103,2606,裕民
104,2607,榮運
105,2609,陽明
106,2610,華航
107,2614,東森
108,2615,萬海
109,2617,台航
110,2618,長榮航
111,2634,漢翔
112,2636,台驊控
113,2637,慧洋
114,2707,晶華
115,2723,美食
116,2727,王品
117,2753,八方
118,2801,彰銀
119,2812,台中銀
120,2834,臺企銀
121,2838,聯邦銀
122,2845,遠東銀
123,2867,三商壽
124,2880,華南金
125,2881,富邦金
126,2882,國泰金
127,2883,開發金
128,2884,玉山金
129,2885,元大金
130,2886,兆豐金
131,2887,台新金
132,2888,新光金
133,2890,永豐金
134,2891,中信金
135,2892,第一金
136,2915,潤泰全
137,3003,健和興
138,3005,神基
139,3006,晶豪科
140,3008,大立光
141,3014,聯陽
142,3016,嘉晶
143,3017,奇鋐
144,3019,亞光
145,3022,威強電
146,3033,威健
147,3034,聯詠
148,3035,智原
149,3037,欣興
150,3042,晶技
151,3045,台灣大
152,3049,和鑫
153,3056,總太
154,3059,華晶科
155,3062,建漢
156,3189,景碩
157,3209,全科
158,3231,緯創
159,3380,明泰
160,3406,玉晶光
161,3413,京鼎
162,3443,創意
163,3454,晶睿
164,3481,群創
165,3504,揚明光
166,3515,華擎
167,3532,台勝科
168,3533,嘉澤
169,3545,敦泰
170,3576,聯合再
171,3592,瑞鼎
172,3596,智易
173,3617,碩天
174,3653,健策
175,3661,世芯
176,3665,貿聯
177,3701,大眾控
178,3702,大聯大
179,3703,欣陸
180,3704,合勤控
181,3708,上緯控
182,3711,日月光
183,3714,富采
184,4119,旭富
185,4142,國光生
186,4536,拓凱
187,4551,智伸科
188,4739,康普
189,4755,三福化
190,4763,材料
191,4770,上品
192,4904,遠傳
193,4906,正文
194,4915,致伸
195,4919,新唐
196,4927,泰鼎
197,4938,和碩
198,4958,臻鼎
199,4961,天鈺
200,4968,立積
201,4977,眾達
202,5222,全訊
203,5243,乙盛
204,5269,祥碩
205,5388,中磊
206,5608,四維航
207,5871,中租
208,5880,合庫金
209,6116,彩晶
210,6153,嘉聯益
211,6176,瑞儀
212,6196,帆宣
213,6202,盛群
214,6206,飛捷
215,6213,聯茂
216,6257,矽格
217,6269,台郡
218,6271,同欣電
219,6278,台表科
220,6282,康舒
221,6285,啟碁
222,6414,樺漢
223,6415,矽力
224,6443,元晶
225,6456,GIS
226,6491,晶碩
227,6515,穎崴
228,6531,愛普
229,6533,晶心科
230,6605,帝寶
231,6669,緯穎
232,6715,嘉基
233,6719,力智
234,6756,威鋒電
235,6768,志強
236,6770,力積電
237,6781,AES
238,6806,森崴
239,8016,矽創
240,8028,昇陽半
241,8046,南電
242,8081,致新
243,8112,至上
244,8114,振樺電
245,8150,南茂
246,8215,明基材
247,8261,富鼎
248,8454,富邦媒
249,8478,東哥
250,8996,高力
251,9103,美德醫
252,9136,巨騰
253,9802,鈺齊
254,9904,寶成
255,9907,統一實
256,9939,宏全
257,9942,茂順
258,9945,潤泰新
259,9958,世紀鋼
