,標的代碼,公司名稱
0,1565,精華
1,1599,宏佳騰
2,1785,光洋科
3,1815,富喬
4,2641,正德
5,2729,瓦城
6,2732,六角
7,2752,豆府
8,2754,藏壽司
9,3081,聯亞
10,3088,艾訊
11,3093,港建
12,3105,穩懋
13,3131,弘塑
14,3141,晶宏
15,3152,璟德
16,3163,波若威
17,3169,亞信
18,3217,優群
19,3218,大學光
20,3227,原相
21,3228,金麗科
22,3260,威剛
23,3264,欣銓
24,3265,台星科
25,3289,宜特
26,3293,鈊象
27,3317,尼克森
28,3324,雙鴻
29,3362,先進光
30,3374,精材
31,3402,漢科
32,3455,由田
33,3479,安勤
34,3483,力致
35,3484,崧騰
36,3491,昇達科
37,3526,凡甲
38,3527,聚積
39,3529,力旺
40,3541,西柏
41,3546,宇峻
42,3548,兆利
43,3551,世禾
44,3552,同致
45,3556,禾瑞亞
46,3558,神準
47,3587,閎康
48,3624,光頡
49,3675,德微
50,3680,家登
51,3691,碩禾
52,3707,漢磊
53,4105,東洋
54,4107,邦特
55,4114,健喬
56,4120,友華
57,4123,晟德
58,4128,中天
59,4157,太景*
60,4162,智擎
61,4163,鐿鈦
62,4580,捷流
63,4707,磐亞
64,4721,美琪瑪
65,4736,泰博
66,4743,合一
67,4768,晶呈
68,4953,緯軟
69,4966,譜瑞
70,4974,亞泰
71,4979,華星光
72,5009,榮剛
73,5015,華祺
74,5236,凌陽創
75,5274,信驊
76,5289,宜鼎
77,5299,杰力
78,5309,系統電
79,5347,世界
80,5351,鈺創
81,5371,中光電
82,5425,台半
83,5439,高技
84,5443,均豪
85,5457,宣德
86,5483,中美晶
87,5536,聖暉*
88,5609,中菲行
89,5902,德記
90,5904,寶雅
91,6015,宏遠證
92,6016,康和證
93,6026,福邦證
94,6104,創惟
95,6111,大宇資
96,6118,建達
97,6121,新普
98,6124,業強
99,6125,廣運
100,6129,普誠
101,6138,茂達
102,6143,振曜
103,6146,耕興
104,6147,頎邦
105,6173,信昌電
106,6180,橘子
107,6182,合晶
108,6186,新潤
109,6187,萬潤
110,6188,廣明
111,6190,萬泰科
112,6203,海韻電
113,6208,日揚
114,6217,中探針
115,6220,岳豐
116,6223,旺矽
117,6237,驊訊
118,6244,茂迪
119,6245,立端
120,6261,久元
121,6274,台燿
122,6279,胡連
123,6284,佳邦
124,6290,良維
125,6411,晶焱
126,6435,大中
127,6462,神盾
128,6469,大樹
129,6472,保瑞
130,6488,環球晶
131,6499,益安
132,6508,惠光
133,6509,聚和
134,6510,精測
135,6523,達爾膚
136,6546,正基
137,6568,宏觀
138,6643,M31
139,6664,群翊
140,6679,鈺太
141,6683,雍智
142,6693,廣閎科
143,6712,長聖
144,6732,昇佳電
145,6741,91APP*
146,6788,華景電
147,6811,宏碁資
148,6829,千附精
149,8027,鈦昇
150,8040,九暘
151,8044,網家
152,8049,晶采
153,8050,廣積
154,8069,元太
155,8076,伍豐
156,8083,瑞穎
157,8084,巨虹
158,8086,宏捷科
159,8091,翔名
160,8109,博大
161,8121,越峰
162,8155,博智
163,8183,精星
164,8234,新漢
165,8255,朋程
166,8279,生展
167,8299,群聯
168,8349,恒耀
169,8358,金居
170,8390,金益鼎
171,8403,盛弘
172,8420,明揚
173,8436,大江
174,8916,光隆
175,8924,大田
176,8927,北基
177,8933,愛地雅
178,8936,國統
179,8938,明安
